Date,Description
"February 9, 2019","Elizabeth Warren formally declares her candidacy for the Democratic Presidential Nomination."
"February 19, 2019","Bernie Sanders formally declares his candidacy for the Democratic Presidential Nomination."
"March 5, 2019","Mike Bloomberg declares that he will not run for the Democratic Presidential Nomination."
"April 14, 2019","Pete Buttigieg formally declares his candidacy for the Democratic Presidential Nomination."
"April 25, 2019","Joe Biden formally declares his candidacy for the Democratic Presidential Nomination."
"October 2, 2019","Bernie Sanders undergoes emergency heart surgery to treat a blocked artery."
"November 24, 2019","Mike Bloomberg declares his candidacy for the Democratic Presidential Nomination, retreating from his recent decision to not run."
"February 3, 2020","Pete Buttigieg narrowly defeats Bernie Sanders in the Iowa Primary with 26.17%. Sanders wins 26.13%. Warren wins 18%. Biden wins 15.8%. Klobuchar wins 12.3%."
"February 11, 2020","Sanders wins the New Hampshire Primary popular vote with 25.6%. Buttigieg wins 24.3%. Klobuchar wins 19.7%. Warren wins 9.2%. Biden wins 8.4%."
"February 22, 2020","Sanders wins the Nevada Primary with 46.8% of the available delegates. Biden wins 20.2%. Buttigieg wins 14.3%. Warren wins 9.7%."
"February 29, 2020","Biden wins the South Carolina Primary popular vote with 48.65%. Sanders wins 19.77%. Steyer wins 11.34%. Buttigieg wins 8.40%. Warren wins 7.07%."
"March 1-2, 2020","Buttigieg and Klobuchar drop out of the race. They both endorse Biden's candidacy."
"March 3, 2020","Biden wins the Alabama, Arkansas, Maine, Massachusetts, Minnesota, North Carolina, Oklahoma, Tennessee, Texas, Virginia Democratic primaries. Sanders wins California, Utah, Vermont, and Colorado."
"March 4, 2020","Bloomberg drops out of the race, endorsing Biden."
"March 5, 2020","Warren drops out of the race, refusing to endorse anyone."
"March 10, 2020","Biden wins Idaho, Michigan, Mississippi, and Missouri Democratic primaries. Sanders wins North Dakota."